Set,Player1_Sets,Player2_Sets,Game,Player1_Game,Player2_Game,Tiebreak,Player1_Score,Player2_Score,Point,Stroke_Number,Point_Winner,Player,Serving,BP,SP,Shot_Side,Shot_Type,X,Y,X2,Y2,Outcome,Remarks,Serve_Speed
1,0,0,1,0,0,0,0,0,1,0,-,Player1,1,0,0,FH,1st Serve,1.5,-12,-1.4,7.2,Fault,,194
1,0,0,1,0,0,0,0,0,1,1,-,Player1,1,0,0,FH,2nd Serve,1.5,-11.9,-3.9,5.93,In-Play,,135
1,0,0,1,0,0,0,0,0,1,2,-,Player2,1,0,0,BH,Topspin,-7,13.7,-0.1,-10.7,In-Play,,
1,0,0,1,0,0,0,0,0,1,3,-,Player1,1,0,0,FH,Topspin,0.8,-12,0.1,8.1,In-Play,,
1,0,0,1,0,0,0,0,0,1,4,-,Player2,1,0,0,FH,Topspin,0.1,13.7,-3.3,-9.4,In-Play,,
1,0,0,1,0,0,0,0,0,1,5,-,Player1,1,0,0,BH,Topspin,-3.9,-13.9,-1,7.1,In-Play,,
1,0,0,1,0,0,0,0,0,1,6,1,Player2,1,0,0,FH,Topspin,-0.7,7.7,3.6,-13,Unforced-Error,,
1,0,0,1,0,0,0,15,0,2,1,-,Player1,1,0,0,FH,1st Serve,-1.2,-11.5,2.9,5,In-Play,,189
1,0,0,1,0,0,0,15,0,2,2,-,Player2,1,0,0,FH,Topspin,4.7,14.2,-1.3,-7.9,In-Play,,
1,0,0,1,0,0,0,15,0,2,3,-,Player1,1,0,0,FH,Topspin,-2.2,-9.4,-1.9,8.1,In-Play,,
1,0,0,1,0,0,0,15,0,2,4,-,Player2,1,0,0,BH,Topspin,-2.3,13.6,1.6,-11.5,In-Play,,
1,0,0,1,0,0,0,15,0,2,5,-,Player1,1,0,0,FH,Topspin,1.7,-13.4,-1.5,5.2,In-Play,,
1,0,0,1,0,0,0,15,0,2,6,-,Player2,1,0,0,BH,Topspin,-2.4,11.4,2.7,-9.8,In-Play,,
1,0,0,1,0,0,0,15,0,2,7,-,Player1,1,0,0,FH,Topspin,3.2,-12.9,1.8,7.4,In-Play,,
1,0,0,1,0,0,0,15,0,2,8,-,Player2,1,0,0,FH,Topspin,1.7,13.3,-2.9,-4.8,In-Play,,
1,0,0,1,0,0,0,15,0,2,9,-,Player1,1,0,0,BH,Slice,-5,-11.2,-2.7,10.3,In-Play,,
1,0,0,1,0,0,0,15,0,2,10,-,Player2,1,0,0,FH,Topspin,-2.8,11.7,-2.6,-11.8,In-Play,,
1,0,0,1,0,0,0,15,0,2,11,-,Player1,1,0,0,BH,Topspin,-2.6,-13.6,1.1,9.4,In-Play,,
1,0,0,1,0,0,0,15,0,2,12,-,Player2,1,0,0,FH,Topspin,1.6,12.9,-3.7,-10.3,In-Play,,
1,0,0,1,0,0,0,15,0,2,13,-,Player1,1,0,0,BH,Topspin,-6.8,-14,1.8,10.5,In-Play,,
1,0,0,1,0,0,0,15,0,2,14,-,Player2,1,0,0,FH,Topspin,2.9,13.2,2.4,-11.4,In-Play,,
1,0,0,1,0,0,0,15,0,2,15,-,Player1,1,0,0,FH,Slice,2,-13.6,-4.2,11.1,In-Play,,
1,0,0,1,0,0,0,15,0,2,16,-,Player2,1,0,0,BH,Topspin,-4.9,13.5,-1.3,-9.6,In-Play,,
1,0,0,1,0,0,0,15,0,2,17,-,Player1,1,0,0,BH,Topspin,-0.7,-10.3,0.6,3.1,In-Play,,
1,0,0,1,0,0,0,15,0,2,18,-,Player2,1,0,0,FH,Topspin,1,9.4,2.2,-6.2,In-Play,,
1,0,0,1,0,0,0,15,0,2,19,-,Player1,1,0,0,FH,Topspin,3,-13.9,-2,5.4,In-Play,,
1,0,0,1,0,0,0,15,0,2,20,-,Player2,1,0,0,BH,Topspin,-3.5,11.1,-3.2,-10,In-Play,,
1,0,0,1,0,0,0,15,0,2,21,-,Player1,1,0,0,BH,Slice,-3.4,-14.3,-3.1,11.9,In-Play,,
1,0,0,1,0,0,0,15,0,2,22,-,Player2,1,0,0,FH,Topspin,-3,13.9,2.6,-5.2,In-Play,,
1,0,0,1,0,0,0,15,0,2,23,2,Player1,1,0,0,FH,Topspin,6,-13.9,4.8,-0.1,Forced-Error,,
1,0,0,1,0,0,0,15,15,3,1,-,Player1,1,0,0,FH,1st Serve,1.4,-11.7,-0.6,4.5,In-Play,,197
1,0,0,1,0,0,0,15,15,3,2,-,Player2,1,0,0,FH,Topspin,-0.7,15.1,-0.7,-6.3,In-Play,,
1,0,0,1,0,0,0,15,15,3,3,1,Player1,1,0,0,FH,Topspin,-0.7,-8.4,1.7,10.8,Winner,,
1,0,0,1,0,0,0,30,15,4,4,-,Player1,1,0,0,FH,1st Serve,-0.8,-11.8,0.6,3.9,In-Play,,187
1,0,0,1,0,0,0,30,15,4,5,-,Player2,1,0,0,BH,Topspin,1.1,13.8,-2.1,-9.5,In-Play,,
1,0,0,1,0,0,0,30,15,4,6,-,Player1,1,0,0,FH,Topspin,-2.3,-12,1.6,8.1,In-Play,,
1,0,0,1,0,0,0,30,15,4,7,-,Player2,1,0,0,FH,Topspin,2.1,13.5,2.2,-11.3,In-Play,,
1,0,0,1,0,0,0,30,15,4,8,-,Player1,1,0,0,FH,Topspin,2.3,-13.4,-2.9,9.9,In-Play,,
1,0,0,1,0,0,0,30,15,4,9,-,Player2,1,0,0,BH,Topspin,-3.1,13.1,-3.9,-9,In-Play,,
1,0,0,1,0,0,0,30,15,4,10,-,Player1,1,0,0,BH,Slice,-4.3,-14.9,-1,10.2,In-Play,,
1,0,0,1,0,0,0,30,15,4,11,2,Player2,1,0,0,FH,Topspin,-0.7,11.9,2.2,-8.1,Winner,,
1,0,0,1,0,0,0,30,30,5,1,-,Player1,1,0,0,FH,1st Serve,1.7,-12.1,-3.7,4.1,In-Play,,161
1,0,0,1,0,0,0,30,30,5,2,1,Player2,1,0,0,BH,Topspin,-7.4,14.9,0.1,0.1,Forced-Error,,
1,0,0,1,0,0,0,40,30,6,1,-,Player1,1,0,0,FH,1st Serve,-1.3,-12.3,0.9,4.7,In-Play,,178
1,0,0,1,0,0,0,40,30,6,2,-,Player2,1,0,0,BH,Topspin,0.8,14.1,1,-3.4,In-Play,,
1,0,0,1,0,0,0,40,30,6,3,-,Player1,1,0,0,FH,Topspin,1.1,-9.7,-1.9,7.8,In-Play,,
1,0,0,1,0,0,0,40,30,6,4,-,Player2,1,0,0,BH,Topspin,-4,13.8,-3.1,-8.1,In-Play,,
1,0,0,1,0,0,0,40,30,6,5,-,Player1,1,0,0,BH,Topspin,-3.2,-10.8,1.3,7.1,In-Play,,
1,0,0,1,0,0,0,40,30,6,6,-,Player2,1,0,0,FH,Topspin,2,12.6,-2.7,-10.8,In-Play,,
1,0,0,1,0,0,0,40,30,6,7,-,Player1,1,0,0,BH,Topspin,-3.3,-13.2,-1.9,11.03,In-Play,,
1,0,0,1,0,0,0,40,30,6,8,-,Player2,1,0,0,FH,Topspin,-2.3,12.6,-2.4,-10.3,In-Play,,
1,0,0,1,0,0,0,40,30,6,9,-,Player1,1,0,0,BH,Topspin,-2.9,-13.1,0.1,9,In-Play,,
1,0,0,1,0,0,0,40,30,6,10,-,Player2,1,0,0,FH,Topspin,-0.2,12.6,2.1,-11.4,In-Play,,
1,0,0,1,0,0,0,40,30,6,11,-,Player1,1,0,0,FH,Topspin,2.2,-13.4,-2,9.5,In-Play,,
1,0,0,1,0,0,0,40,30,6,12,-,Player2,1,0,0,BH,Topspin,-3.1,11.1,-3.1,-5.8,In-Play,,
1,0,0,1,0,0,0,40,30,6,13,-,Player1,1,0,0,BH,Topspin,-3.2,-14.2,0.9,7.6,In-Play,,
1,0,0,1,0,0,0,40,30,6,14,2,Player2,1,0,0,FH,Topspin,1.1,12.4,-3,-4.9,Winner,,
